Symbol,Leg-In Time,Leg-Out Time,Zone High,Zone Low,Status,Higher Timeframe Leg-In Time,Higher Timeframe Leg-Out Time,Higher Timeframe Zone High,Higher Timeframe Zone Low
NTPC.NS,2023-08-30 00:00:00,2023-09-01 00:00:00,221.64999389648438,218.75,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,218.9499969482422,216.14999389648438
GRASIM.NS,2023-04-05 00:00:00,2023-04-10 00:00:00,1667.3702392578125,1643.7640380859375,Target Achieved,2023-04-01 00:00:00,2023-07-01 00:00:00,1734.4036865234375,1726.385498046875
GRASIM.NS,2023-04-24 00:00:00,2023-04-28 00:00:00,1698.894775390625,1666.4737548828125,Tested,2023-04-01 00:00:00,2023-07-01 00:00:00,1734.4036865234375,1726.385498046875
GRASIM.NS,2023-05-04 00:00:00,2023-05-08 00:00:00,1760.2010498046875,1739.0850830078125,Tested,2023-04-01 00:00:00,2023-07-01 00:00:00,1734.4036865234375,1726.385498046875
GRASIM.NS,2023-06-01 00:00:00,2023-06-06 00:00:00,1737.5909423828125,1693.2672119140625,Tested,2023-04-01 00:00:00,2023-07-01 00:00:00,1734.4036865234375,1726.385498046875
GRASIM.NS,2023-06-08 00:00:00,2023-06-14 00:00:00,1740.0810546875,1703.5263671875,Tested,2023-04-01 00:00:00,2023-07-01 00:00:00,1734.4036865234375,1726.385498046875
INDUSINDBK.NS,2023-08-08 00:00:00,2023-08-10 00:00:00,1410.449951171875,1392.0,Tested,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-08-21 00:00:00,2023-08-24 00:00:00,1408.0,1392.1500244140625,Tested,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-08-30 00:00:00,2023-09-01 00:00:00,1401.9000244140625,1363.25,Target Achieved,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-10-04 00:00:00,2023-10-06 00:00:00,1415.4000244140625,1394.300048828125,Target Achieved,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-10-11 00:00:00,2023-10-13 00:00:00,1444.0,1421.0,Tested,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-10-18 00:00:00,2023-10-20 00:00:00,1464.699951171875,1423.050048828125,Tested,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
INDUSINDBK.NS,2023-11-03 00:00:00,2023-11-07 00:00:00,1471.9000244140625,1456.0,Target Achieved,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
